Reg.code;Region;FO;Y.activity.2016.ps;INDEX.p.2016;numb.employees.2016;INDEX.VRP.2015;Sum.activity.2015
1000;Российская Федерация ;;36119929;100,1;72392,6;99,4;603939629
1001;Центральный федеральный округ;ЦФО;12731952;104,8;20526,6;99,3;124766842
31;Белгородская область;ЦФО;603881;109,2;789,2;103;2830333
32;Брянская область;ЦФО;175558;106,5;595,9;101,5;5322763
33;Владимирская область;ЦФО;411594;104,8;695,7;98,4;8499305
36;Воронежская область;ЦФО;414144;103;1112,8;100,5;4699979
37;Ивановская область;ЦФО;119270;106,6;506,3;101,3;1568408
40;Калужская область;ЦФО;517016;108,2;520,3;94,6;5373037
44;Костромская область;ЦФО;106429;101,6;309,5;98,6;835318
46;Курская область;ЦФО;167197;108,6;545,1;102,9;2263878
48;Липецкая область;ЦФО;574430;103,9;573,9;101;4522261
50;Московская область;ЦФО;2115619;115,8;3862,8;102,6;19475280
57;Орловская область;ЦФО;105689;97,4;359,8;102,4;1266286
62;Рязанская область;ЦФО;251463;101,2;514,7;98,1;1840485
67;Смоленская область;ЦФО;180557;104,8;487,4;99,1;7358663
68;Тамбовская область;ЦФО;137364;103,5;498,3;106,9;1362268
69;Тверская область;ЦФО;216934;112;648,6;99,4;3034599
71;Тульская область;ЦФО;570972;113,5;767,2;105,6;5396751
76;Ярославская область;ЦФО;314479;105,1;632,5;100,4;3214689
77;г.Москва;ЦФО;5749357;102,2;7106,8;97,9;45902539
1002;Северо-Западный федеральный округ;СЗФО;4734397;102;7256,7;101,5;79505484
10;Республика Карелия;СЗФО;86809;106,3;296,9;100,4;2410833
11;Республика Коми;СЗФО;164307;95;425,5;98,3;655350
29;Архангельская область;СЗФО;168026;99,9;551,1;103,3;1313602
83;  в т.ч. Ненецкий авт. округ;СЗФО;22370;90,8;21,4;109,3;1313602
35;  Архангельская область без Ненецкого авт.округа;СЗФО;145657;99,9;529,8;100,1;
39;Вологодская область;СЗФО;515013;99,1;570,5;101,3;1463132
47;Калининградская область;СЗФО;424136;101,3;493;98,5;2860351
51;Ленинградская область;СЗФО;899580;105,4;921,9;104,6;19363148
53;Мурманская область;СЗФО;139901;107,3;410,5;101,2;1038666
60;Новгородская область;СЗФО;188719;104,6;305,7;102,2;2107876
78;Псковская область;СЗФО;85901;105,8;311,3;98;1012747
1003;г.Санкт-Петербург;СЗФО;2062005;103,7;2970,5;101,4;47279779
1;Южный федеральный округ;ЮФО;2358804;105;7645,7;99,5;23220473
8;Республика Адыгея;ЮФО;48426;111,3;183,7;100,8;92038
23;Республика Калмыкия;ЮФО;735;89,2;129,5;95,9;
30;Республика Крым;ЮФО;74005;88,3;839,4;108,5;382287
34;Краснодарский край;ЮФО;825465;105,2;2579,4;98,4;5906411
61;Астраханская область;ЮФО;61917;104,6;483;99,1;1455189
1004;Волгоградская область;ЮФО;615926;104,3;1200,6;93,8;6576078
5;Ростовская область;ЮФО;718360;114;2048,8;104;8575142
6;г.Севастополь;ЮФО;13972;119,2;181,3;104,5;56815
7;Северо-Кавказский федеральный округ;СКФО;392782;109,1;4035,4;99,8;5687722
9;Республика Дагестан;СКФО;32528;139,3;1188,8;98,6;1344954
15;Республика Ингушетия;СКФО;3539;103,6;161,2;97,6;
20;Кабардино-Балкарская Республика;СКФО;32883;87,4;387,2;101,9;672508
26;Карачаево-Черкесская Республика;СКФО;30014;111,4;184,2;95,1;624877
1005;Республика Северная Осетия-Алания;СКФО;18685;87,7;291,9;97,4;211174
2;Чеченская Республика;СКФО;9104;103,6;523;102,9;
12;Ставропольский край;СКФО;266029;112,2;1299,2;100,9;2834209
13;Приволжский федеральный округ;ПФО;7364795;101,4;14710,4;98,7;300442902
16;Республика Башкортостан;ПФО;970695;103,7;1895,4;98,3;8280632
18;Республика Марий Эл;ПФО;133457;96,6;331;103,2;2125397
21;Республика Мордовия;ПФО;138024;101,1;424,7;101,1;2329565
59;Республика Татарстан;ПФО;1432843;102,8;1980,8;100;12672108
43;Удмуртская Республика;ПФО;333831;112,8;764,2;99,8;6181683
52;Чувашская Республика;ПФО;163397;106,7;611,8;97,3;201020033
56;Пермский край;ПФО;868313;98;1236,7;99,6;14991073
58;Кировская область;ПФО;193715;103,5;643,5;99,2;1080913
63;Нижегородская область;ПФО;1146937;105,8;1696;96,5;7327812
64;Оренбургская область;ПФО;274312;98,2;962,2;96,1;4666664
73;Пензенская область;ПФО;188089;104,8;675,9;103,9;2508808
1006;Самарская область;ПФО;938869;97,8;1686,7;97;25764493
45;Саратовская область;ПФО;346434;109,8;1178,5;99;3026475
66;Ульяновская область;ПФО;235879;101,7;623,1;98,1;8467246
72;Уральский федеральный округ;УФО;4341747;101,4;6055;98,8;28815184
86;Курганская область;УФО;93561;102;376,6;97,4;8082213
89;Свердловская область;УФО;1642785;109;2092,4;97,3;10653879
74;Тюменская область;УФО;1382838;103,2;1866,3;99,2;1732365
1007;   в т.ч. Ханты-Мансийский авт.округ-Югра;УФО;425678;100,1;876,7;98,2;433374
4;           Ямало-Ненецкий авт. округ;УФО;322287;104;312,9;98,1;72164
3;           Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);УФО;634873;104,1;676,7;105,3;1226827
17;Челябинская область;УФО;1222563;95,4;1719,7;99,5;8346727
19;Сибирский федеральный округ;СФО;3595051;97,3;8117,5;98,8;26585600
22;Республика Алтай;СФО;5969;108,8;86,8;100,2;
75;Республика Тыва;СФО;61205;82,6;107,2;98,6;
24;Республика Хакасия;СФО;664;91,8;243,8;98,5;659594
38;Алтайский край;СФО;82433;93,7;1059,6;100,5;2500190
42;Красноярский край;СФО;265883;102,9;1391,8;97,8;2651347
54;Иркутская область;СФО;23499;94,8;1137,3;100,4;2054254
55;Кемеровская область;СФО;940698;94,6;1264;99;9441533
70;Новосибирская область;СФО;457587;105,7;1345,6;98;3292069
1008;Омская область;СФО;475009;98,2;971,9;97;2314105
14;Томская область;СФО;410383;100,6;509,5;100,4;2854239
41;Дальневосточный федеральный округ;ДФО;709347;97,3;4045,3;100,5;14915422
25;Республика Бурятия;ДФО;162374;107,4;408,5;99,6;515403
27;Республика Саха (Якутия);ДФО;600400;100,1;454,6;101,7;268873
28;Забайкальский край;ДФО;33811;94;477,5;99,1;362386
49;Камчатский край;ДФО;78903;106,2;175,5;101,9;189330
65;Приморский край;ДФО;189663;100,3;986,5;99,5;3932722
79;Хабаровский край;ДФО;205033;104,9;697,4;95,7;9409852
87;Амурская область;ДФО;27899;74,8;389,4;103,7;187515
Магаданская область;Магаданская область;ДФО;3176;114,3;86,4;102,2;
Сахалинская область;Сахалинская область;ДФО;56096;115,5;260,5;103,1;805721
Еврейская автономная область;Еврейская автономная область;ДФО;5214;70,6;77,6;98,3;
Чукотский автономный округ;Чукотский автономный округ;ДФО;604;103,8;31,2;100,8;
